place_id,estado,lat,lon,precio_magna,precio_premium,precio_diesel,nombre,cre_id
20875,Baja California,32.65879,-115.4265,22.75,27.35,,FMP GAS SA DE CV,PL/13622/EXP/ES/2016
20860,Durango,24.78333,-104.4705,23.99,,28.0,SUMINISTROS AUTOMOTRICES VAZTER SA DE CV,PL/13621/EXP/ES/2016
20885,Chihuahua,31.72655,-106.4251,19.19,23.39,26.99,DISTRIBUIDORA CLARA SA DE CV,PL/13620/EXP/ES/2016
2712,Chihuahua,28.73301,-106.1143,23.93,26.09,26.99,OPERADORA LOS NOGALES SA DE CV,PL/1362/EXP/ES/2015
20890,Hidalgo,20.57074,-97.43284,23.99,,,GASOLINERA GRAN PATIO POZA RICA SA DE CV,PL/13619/EXP/ES/2016
20879,Sinaloa,23.13705,-109.7098,24.49,29.89,,NOGALES ENERGETICOS SA DE CV,PL/13618/EXP/ES/2016
20876,Nuevo Leon,27.49469,-99.54217,21.5,,27.0,SERVICIO ARROYO ALAZANAS SA DE CV,PL/13617/EXP/ES/2016
20871,Michoacan,20.16992,-102.3849,23.92,,27.49,CINTHIA MARIBEL TAMAYO HERRERA,PL/13616/EXP/ES/2016
20899,Michoacan,19.69422,-101.2234,23.29,,,GASOLINEROS MORELIANOS SA DE CV,PL/13615/EXP/ES/2016
20881,Nayarit,20.89489,-105.4074,,29.99,,GRUPO OCTANO SA DE CV,PL/13614/EXP/ES/2016
16126,Baja California,32.44323,-116.868,23.59,29.49,28.59,ESTACION RAEL S DE RL DE CV,PL/13613/EXP/ES/2016
20880,Tlaxcala,19.16645,-98.37794,23.99,27.4,,COMBUSTIBLES MINA SA DE CV,PL/13612/EXP/ES/2016
16133,Sonora,29.03259,-110.9677,23.99,28.49,,POWER GAS SA DE CV,PL/13611/EXP/ES/2016
16177,Nuevo Leon,24.65065,-100.2908,24.99,29.29,28.79,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/13610/EXP/ES/2016
2728,Aguascalientes,21.8869,-102.2507,23.99,,,RED SIGLO XXI SA DE CV,PL/1361/EXP/ES/2015
16178,Nuevo Leon,25.81698,-100.396,23.99,29.99,,SERVICIOS GASOLINEROS DE MEXICO SA DE CV,PL/13609/EXP/ES/2016
20889,Guanajuato,20.57163,-101.1831,23.59,28.85,27.99,SERVICIOS ECOLOGICOS DE CIUDAD DEL CARMEN SA DE CV,PL/13608/EXP/ES/2016
20898,Oaxaca,17.05736,-96.71268,24.0,29.89,27.5,SERVICIOS GASEROS DEL GOLFO SA DE CV,PL/13607/EXP/ES/2016
16176,Sinaloa,26.41003,-109.0172,23.99,29.69,,GERMAN PABLO RIVERA GONZALEZ,PL/13606/EXP/ES/2016
20856,Tlaxcala,20.39186,-97.33668,23.99,28.45,27.0,CENTRO GASOLINERO 8T SA DE CV,PL/13605/EXP/ES/2016
